A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,A20,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D20,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20
0,53,39,59,43,70,87,66,33,5,34,78,40,78,42,82,27,18,20,55,10,24,87,5,45,84,57,22,91,8,49,94,56,5,79,14,67,66,61,20,92,41,2,48,88,61,23,2,96,9,83,38,57,23,58,62,65,89,100,1,55,62,16,2,49,71,21,70,93,25,11,69,12,3,98,35,64,48,89,39,21,68,70,58,24,18,84,55,82,38,47,59,84,28,44,100,90,76,87,77,44,7,92,73,58,58,30,31,60,41,33,56,96,12,81,78,88,59,33,72,45,23,44,83,79,32,2,30,95,8,8,94,79,51,29,13,28,44,14,69,81,97,89,14,12,74,89,94,42,36,60,44,37,51,35,24,86,30,99,8,93,51,95,61,60,2,44,58,67,44,8,30,82,41,60,30,37,42,23,40,52,49,88,15,54,23,91,90,88,24,93,40,71,75,99,44,27,48,61,18
90,0,2,41,12,97,38,21,22,90,28,42,22,42,20,42,82,51,86,97,8,18,22,78,66,17,27,11,40,31,86,94,22,28,7,80,15,41,27,44,44,30,46,21,64,64,55,40,7,57,24,95,76,59,23,31,8,96,22,53,38,34,88,41,28,89,63,20,56,88,6,63,27,13,49,9,27,36,63,4,28,50,23,89,85,5,12,54,77,69,65,74,42,20,10,36,49,47,65,30,71,7,34,75,82,94,53,94,16,90,46,96,61,77,85,37,54,25,23,42,4,74,34,37,15,55,42,77,15,16,62,11,38,96,79,32,66,97,22,81,47,20,97,12,69,14,65,54,70,68,50,35,83,24,31,10,46,6,70,25,77,39,91,30,82,76,13,63,33,99,56,36,8,64,34,2,28,18,17,93,46,96,66,88,4,6,82,62,50,19,96,38,52,14,77,61,13,35,31,56
56,92,0,59,27,94,63,15,78,58,7,69,32,6,43,92,59,43,65,87,81,42,46,88,30,56,75,74,45,27,24,76,44,9,20,47,43,58,11,85,73,49,42,1,9,62,11,45,38,31,57,94,72,92,65,28,36,80,2,79,15,35,2,68,76,81,79,30,90,100,11,76,88,4,1,12,29,97,39,82,65,11,85,42,66,85,79,72,76,57,81,16,40,68,69,49,45,34,80,2,96,55,80,41,39,47,84,97,82,4,16,90,55,6,63,36,61,21,67,86,15,62,74,14,30,35,15,24,32,75,84,25,63,71,75,14,14,66,98,68,66,79,6,72,13,22,17,43,70,35,88,50,48,76,77,26,2,56,56,60,69,57,55,30,88,57,53,65,41,6,47,100,88,14,94,71,70,38,32,16,55,39,37,47,30,70,82,99,13,71,84,51,100,25,85,13,21,18,29,77
83,62,49,0,87,39,6,83,3,91,38,79,63,55,37,75,27,48,54,29,15,87,17,86,78,99,15,56,83,62,24,64,30,78,55,17,63,33,25,70,40,88,35,75,29,33,22,77,89,33,15,52,63,60,34,91,89,64,78,65,53,47,66,44,4,61,73,16,49,43,46,32,51,77,47,39,10,94,18,75,52,36,1,36,30,51,86,21,70,29,65,50,25,41,16,18,84,67,96,29,77,47,22,7,38,17,28,50,93,79,49,41,37,8,8,56,87,34,33,90,62,35,76,17,73,54,92,8,10,46,63,29,22,83,83,46,22,42,59,84,59,63,72,10,88,7,79,91,10,94,96,85,4,61,86,92,21,92,61,18,61,72,69,41,51,70,59,38,25,53,11,14,50,78,34,61,75,20,28,2,71,83,21,31,53,35,19,62,89,40,83,77,6,6,30,60,30,68,92,64
25,2,28,35,0,72,75,73,100,57,95,14,59,88,26,74,39,74,58,3,73,100,18,67,38,97,63,74,70,84,29,10,57,100,39,38,81,97,48,25,84,50,61,64,90,75,61,69,72,6,43,71,8,80,67,12,30,60,86,3,23,96,27,99,41,93,48,94,56,45,91,99,68,84,82,20,35,63,69,81,55,25,31,79,56,8,5,85,94,17,66,37,90,97,77,27,78,92,4,55,92,28,67,75,22,49,37,6,77,58,40,38,84,1,64,43,69,59,81,77,30,67,50,6,37,55,78,77,4,36,89,51,42,41,34,81,79,70,98,97,83,55,95,35,33,72,100,74,16,97,20,18,18,62,66,40,55,1,41,46,33,47,59,66,9,88,93,10,8,31,60,50,66,8,30,91,95,39,37,22,20,92,84,18,14,18,70,96,32,7,30,19,35,56,43,66,62,8,25,55
100,9,5,18,7,0,78,92,3,57,88,84,9,5,33,91,70,43,16,30,8,99,72,60,69,17,39,32,77,5,92,72,61,16,23,98,36,93,36,14,19,80,23,77,60,51,83,86,100,92,94,24,99,93,40,52,95,62,82,18,84,32,36,28,63,69,82,13,99,15,96,19,75,19,10,44,58,90,88,52,92,64,69,9,23,2,100,87,64,43,51,97,87,84,17,51,95,58,9,49,84,46,88,30,43,44,24,81,38,87,62,90,63,75,92,39,24,3,90,89,6,69,17,35,91,8,61,34,1,71,29,36,90,26,47,86,100,61,19,45,6,42,30,71,14,34,5,32,42,68,82,55,58,96,6,2,2,71,92,53,68,62,89,81,13,48,64,78,45,89,14,93,52,69,61,42,5,49,62,59,35,64,56,47,27,11,39,7,66,32,97,78,93,59,60,37,15,57,52,77
11,70,78,78,55,80,0,35,30,35,62,6,44,7,72,53,74,70,83,67,72,9,28,10,48,42,95,54,94,85,3,64,31,11,100,13,35,76,10,61,28,92,21,61,5,44,63,47,74,20,79,63,55,61,95,3,56,85,87,81,20,39,82,16,39,46,47,63,41,36,27,82,36,40,56,44,74,100,52,65,57,63,62,92,54,21,92,56,22,38,48,73,54,97,93,14,60,86,60,47,27,16,92,87,37,79,69,35,41,29,58,8,99,59,27,2,59,64,38,51,21,86,63,22,96,89,49,31,88,87,28,78,65,81,1,16,32,43,13,13,5,45,80,31,58,78,26,26,33,39,80,14,100,17,4,85,29,6,80,48,39,19,32,84,39,51,35,73,51,67,22,4,9,54,58,93,30,23,24,75,19,39,59,65,77,76,47,59,27,36,22,22,80,20,79,4,66,63,84,60
23,12,58,80,25,93,66,0,54,73,26,4,82,35,37,19,51,98,56,22,72,39,53,12,60,76,54,90,26,88,58,24,78,72,1,20,6,78,21,20,69,10,62,27,99,84,93,69,80,6,88,13,4,90,20,10,10,99,63,91,70,32,69,52,49,31,68,51,93,78,27,17,81,18,84,65,10,61,62,41,35,50,42,22,41,94,4,8,12,86,52,97,35,76,19,28,67,1,31,98,49,49,66,91,95,99,88,36,84,96,6,97,39,17,66,19,61,74,33,89,60,54,90,18,30,5,77,5,71,81,66,97,80,34,17,24,90,37,45,33,33,99,64,35,47,75,7,93,41,34,28,92,36,29,56,69,100,55,42,69,91,84,31,49,91,37,86,88,59,58,58,51,22,88,39,97,3,27,79,21,84,43,12,26,62,67,71,19,66,20,99,40,53,91,7,5,66,93,71,86
32,36,67,68,68,47,4,24,0,1,62,5,15,15,49,47,12,50,62,93,13,100,81,81,86,29,19,90,29,54,57,39,63,9,95,49,86,42,3,6,54,62,70,28,96,45,10,4,72,27,37,84,4,65,19,99,80,22,89,52,30,22,76,64,49,95,8,83,97,99,29,10,94,30,91,66,34,53,51,85,66,20,7,91,99,74,100,72,56,60,95,81,39,17,56,90,46,25,79,88,66,49,46,71,18,74,50,36,46,13,69,34,17,56,1,21,40,14,6,62,28,93,61,21,60,44,37,88,85,96,31,41,33,73,57,11,51,59,51,49,92,19,97,8,94,65,85,90,2,7,16,6,80,4,18,76,86,49,30,26,100,84,93,3,64,80,56,99,50,75,20,41,63,25,20,99,34,15,76,83,45,40,1,24,76,21,59,22,56,87,51,85,96,94,46,88,23,25,10,44
23,62,31,39,92,3,58,38,45,0,67,11,7,61,48,1,34,59,3,85,15,21,48,6,64,39,62,59,25,100,66,34,16,71,1,68,44,27,40,98,7,35,28,94,62,99,99,85,27,58,77,29,42,14,25,45,78,94,76,69,100,23,57,2,98,81,23,85,85,14,58,66,91,4,35,67,26,17,80,71,49,69,42,31,14,44,43,96,16,1,35,41,21,98,40,46,70,92,50,67,78,29,2,61,21,27,1,14,77,33,79,8,66,77,50,26,21,21,12,98,93,60,96,75,14,25,55,4,97,90,40,34,79,41,44,100,77,98,96,51,44,91,88,49,15,65,37,42,87,59,35,33,90,13,100,60,64,26,66,95,17,29,87,78,4,11,7,38,98,90,29,23,22,35,58,46,7,23,89,23,38,74,4,3,87,73,77,63,72,9,94,35,99,62,45,40,2,61,70,43
38,20,84,7,3,54,81,11,45,74,0,76,78,84,100,54,69,10,68,4,10,3,40,73,54,51,73,78,85,78,7,53,45,2,26,1,54,50,23,51,61,32,59,14,43,11,51,48,90,68,26,69,44,14,24,68,21,11,81,86,66,77,43,79,62,48,99,75,99,81,18,26,29,92,14,1,37,3,85,33,88,50,31,24,18,7,79,72,94,82,71,46,13,74,39,51,92,83,26,83,46,51,12,65,72,88,79,28,50,18,65,30,13,20,60,81,47,44,29,42,21,74,53,16,37,23,93,44,51,35,79,15,99,98,49,58,83,68,70,46,44,9,13,1,70,27,59,42,23,80,8,74,4,25,12,41,97,33,48,52,64,18,69,4,64,97,78,54,5,39,72,31,99,70,98,94,84,17,43,57,44,60,88,40,25,41,8,87,54,33,50,30,94,42,65,30,14,50,82,62
34,1,17,26,58,35,69,29,10,7,82,0,58,28,49,53,35,65,47,89,26,58,50,77,45,88,73,69,16,59,11,95,37,5,44,71,55,33,79,77,33,60,22,88,57,59,19,45,5,64,96,47,63,45,10,82,91,31,24,65,72,38,71,2,22,37,38,34,30,71,5,74,66,94,81,2,13,80,85,28,51,68,22,71,80,17,51,43,60,39,7,59,17,79,36,99,5,63,88,56,56,96,59,52,46,38,9,2,9,2,20,97,33,25,87,59,39,80,26,41,87,90,32,31,27,22,19,70,100,81,39,41,57,15,89,16,95,25,98,33,10,34,34,70,13,20,57,58,22,75,85,99,49,21,18,30,23,92,52,30,65,69,15,2,28,81,64,94,46,48,57,8,39,64,20,26,90,36,83,21,9,16,37,59,25,41,1,26,66,62,42,58,49,54,41,65,45,22,52,31
3,75,95,92,24,50,11,56,92,9,59,98,0,53,7,83,88,88,98,32,68,95,33,13,9,5,28,29,40,29,65,38,66,30,45,80,31,33,34,3,77,87,52,80,55,75,100,99,66,56,85,33,4,7,37,11,3,4,29,55,26,75,49,34,29,55,1,35,29,26,40,54,81,85,3,91,2,31,86,72,57,29,71,54,49,53,47,57,58,41,70,43,16,30,72,100,23,52,27,81,87,64,73,6,67,67,76,77,56,95,84,15,41,37,40,16,8,76,11,65,37,76,80,9,12,36,79,26,81,26,80,55,54,52,57,22,85,78,71,68,26,57,7,39,81,81,49,35,22,48,56,34,14,9,15,11,20,44,44,12,20,42,8,47,48,82,26,74,8,21,5,33,78,10,86,58,51,4,97,22,88,54,13,77,35,9,21,4,99,91,63,62,42,47,99,86,26,57,74,43
96,27,51,96,46,39,62,53,48,45,67,11,88,0,24,10,70,71,6,62,65,66,18,82,89,9,83,88,92,84,6,74,76,59,95,90,44,35,29,39,11,97,47,26,86,6,54,55,56,77,1,16,68,69,33,29,67,44,70,76,72,74,69,45,47,51,1,88,92,65,40,58,51,66,62,26,75,35,32,51,48,90,28,41,46,51,54,57,83,37,41,19,94,98,42,47,43,82,18,96,47,29,55,3,92,3,6,85,62,75,36,6,78,68,86,67,46,56,35,30,43,84,76,27,7,47,90,6,14,26,26,52,62,33,74,42,81,97,93,22,91,11,90,29,94,67,30,19,17,72,91,78,41,76,3,7,56,49,72,4,21,29,51,3,76,60,62,53,58,69,63,39,84,1,15,80,21,43,75,14,30,100,1,47,40,89,57,82,94,76,33,84,24,8,9,63,32,87,77,61
79,74,97,87,19,80,8,95,55,57,83,77,54,8,0,90,44,24,29,32,64,82,50,44,31,46,17,22,92,79,11,61,34,52,46,70,42,36,87,74,97,5,5,7,4,79,59,88,77,49,64,97,69,12,33,80,31,65,78,62,20,71,45,96,18,13,9,55,79,20,83,33,67,17,94,92,52,96,29,46,38,40,47,30,48,22,12,56,51,17,93,67,40,26,6,68,79,27,30,55,87,90,76,32,78,17,17,61,55,28,49,69,95,54,66,84,60,67,31,29,76,70,89,100,42,86,51,47,57,93,57,32,70,88,85,26,3,78,33,55,27,70,11,10,30,57,88,58,81,84,65,1,90,31,72,69,44,79,41,11,50,40,30,61,99,97,45,64,90,33,19,10,76,70,5,3,90,16,74,74,95,80,48,34,72,19,28,60,50,55,84,38,59,65,69,9,28,94,52,90
43,61,85,77,42,64,82,82,82,99,94,89,39,79,50,0,20,26,59,6,58,40,70,70,13,6,52,66,26,83,5,8,35,38,76,96,37,44,54,90,30,23,81,89,13,75,41,54,97,41,57,11,55,71,26,43,61,17,46,80,2,22,44,35,38,1,63,38,51,64,78,99,94,24,81,55,28,38,65,97,93,21,10,69,6,97,51,47,18,37,38,25,34,59,25,15,32,72,91,98,82,98,13,78,54,85,62,41,39,97,90,10,39,75,19,59,85,72,91,5,60,88,19,76,73,51,7,16,82,18,7,68,45,73,91,36,40,29,93,4,94,18,38,94,46,42,42,88,98,38,2,68,1,84,51,5,21,8,70,85,17,33,54,65,50,41,95,96,73,93,45,28,31,55,1,7,64,36,63,56,75,34,92,89,74,47,79,36,54,99,62,74,8,15,63,45,98,98,61,61
60,37,67,74,49,83,32,60,81,97,95,65,68,95,10,37,0,63,15,35,64,52,59,7,19,2,34,67,84,7,98,68,23,97,5,38,60,69,22,88,33,42,22,36,81,40,48,89,65,94,87,53,56,95,31,62,56,52,51,2,89,46,95,61,88,9,51,100,9,13,26,32,53,20,45,85,37,16,49,93,84,51,38,99,55,58,22,30,14,84,27,6,34,35,24,84,84,55,14,30,7,47,95,8,73,78,68,85,74,98,66,35,30,41,5,98,66,50,80,93,57,74,47,92,34,79,58,56,49,98,77,12,97,23,98,25,29,36,97,76,81,54,61,59,26,37,78,85,48,92,29,9,24,25,8,12,66,56,76,100,73,85,7,26,50,14,34,31,6,98,70,24,26,99,58,15,88,59,69,91,91,83,47,51,40,77,5,79,90,42,39,47,22,86,10,27,53,69,94,43
46,73,20,67,22,57,6,84,86,96,60,35,14,32,69,47,66,0,10,4,99,58,37,81,17,91,12,33,89,35,35,97,65,29,13,71,96,18,4,86,90,46,2,22,72,93,70,19,69,88,25,71,24,10,6,46,64,11,89,36,1,61,44,83,25,95,87,51,84,44,71,54,70,90,58,90,92,29,17,76,54,80,47,15,29,35,66,69,29,23,6,68,61,17,15,71,78,58,69,85,24,6,14,91,8,14,30,83,27,3,56,21,91,41,100,49,78,37,41,76,74,83,49,65,31,73,24,22,63,19,1,79,2,22,14,82,20,79,55,61,54,84,34,39,14,32,55,85,89,84,96,21,98,30,35,57,41,20,77,54,8,95,12,96,37,16,88,44,34,63,24,28,25,3,24,74,8,3,51,18,87,97,44,66,36,45,53,44,21,73,81,93,31,54,52,93,72,100,3,49
57,34,17,17,96,30,38,13,75,53,7,95,25,38,6,24,60,94,0,70,52,33,19,66,77,11,86,52,47,66,7,2,100,83,65,53,30,14,67,12,36,73,5,31,54,49,46,16,12,20,45,77,72,53,30,97,19,1,66,59,26,64,16,38,10,53,71,52,25,68,90,68,78,45,8,2,78,100,85,62,9,32,63,49,44,18,26,83,42,95,27,58,46,60,85,78,70,2,68,2,47,13,38,55,92,15,96,9,76,57,73,26,55,66,31,28,38,15,33,8,81,96,5,16,9,52,90,17,48,21,56,32,39,40,61,69,61,68,61,33,71,61,14,53,99,54,18,46,99,66,76,4,20,62,95,3,40,35,47,97,99,12,50,2,64,36,64,70,27,32,56,46,76,30,24,57,42,57,76,55,63,86,98,22,82,27,46,49,67,71,59,75,44,54,20,35,80,17,89,82
76,85,58,66,24,7,73,37,99,15,74,75,91,52,34,25,32,44,40,0,90,16,17,43,27,9,89,66,99,56,42,23,56,25,64,76,12,39,19,12,52,39,13,60,27,41,87,2,20,34,56,54,60,34,100,17,78,98,49,70,72,26,46,44,14,67,77,97,25,100,41,97,61,52,28,61,18,31,66,68,10,63,34,48,1,13,14,37,58,37,59,62,97,15,75,83,49,20,53,30,40,59,23,78,19,100,100,28,28,48,2,85,96,12,27,22,49,9,95,65,37,71,58,19,66,8,97,65,7,3,63,23,13,58,65,93,45,20,22,79,86,32,58,50,21,33,33,65,74,65,18,22,11,47,51,61,37,52,14,72,68,31,1,42,10,28,74,69,62,95,27,52,85,60,84,50,69,14,58,21,20,2,70,92,78,83,49,8,91,87,92,44,61,81,47,23,56,17,15,1
45,32,89,56,34,88,70,97,37,72,37,54,23,47,20,86,8,50,51,26,0,27,14,60,29,89,52,39,98,94,54,88,24,67,48,45,13,46,91,91,94,29,17,72,100,64,59,14,47,70,56,62,64,60,58,64,92,10,29,60,61,88,52,17,74,96,18,100,59,99,56,67,15,33,98,20,48,12,17,17,76,100,58,100,20,22,63,80,23,49,2,48,61,54,18,94,31,84,24,6,55,28,33,69,67,44,11,3,44,40,72,94,36,49,95,81,78,54,97,53,31,45,17,61,81,91,87,72,51,82,27,38,72,9,74,55,54,85,75,4,45,53,78,50,18,68,74,10,41,78,56,100,56,33,27,67,32,70,18,91,31,28,10,51,86,88,32,96,73,21,81,74,10,90,39,30,51,36,60,89,31,15,22,90,41,88,9,58,82,37,39,70,71,87,97,26,87,65,97,32
20,64,73,22,25,60,15,98,52,71,79,73,66,80,71,34,7,41,44,95,15,0,4,68,41,81,7,85,41,23,51,78,40,27,53,96,75,58,37,7,22,30,6,22,64,19,46,58,42,93,79,49,97,89,43,69,53,86,90,13,84,46,5,57,25,1,54,44,45,36,88,17,88,98,33,88,59,36,56,69,88,29,46,73,14,45,95,24,77,49,89,19,96,9,4,88,21,55,13,44,72,50,51,11,22,32,9,21,88,95,81,76,25,45,63,46,87,80,50,37,61,80,73,51,8,4,96,71,35,96,92,77,47,82,4,68,97,95,30,92,40,25,3,57,3,54,46,96,90,94,31,37,67,29,6,99,73,4,100,89,78,53,86,61,92,96,82,49,90,60,46,32,74,29,64,62,43,75,17,69,15,40,95,21,95,23,87,97,73,8,73,18,65,69,41,21,41,85,10,59
5,8,55,62,29,16,25,85,28,62,47,31,94,51,84,40,64,25,98,89,84,26,0,62,8,64,5,19,81,14,65,63,11,88,76,52,35,47,56,25,5,50,38,24,51,61,32,41,83,31,25,50,87,55,19,45,71,62,12,65,86,35,54,54,61,69,68,92,52,96,79,48,43,44,47,13,9,54,43,5,11,24,73,57,34,66,77,60,25,61,19,46,41,79,94,7,79,20,67,45,32,65,23,88,58,64,84,16,28,82,25,96,26,75,65,37,59,95,5,9,49,46,32,37,76,60,90,88,47,46,28,60,34,69,83,43,94,75,59,85,45,44,91,43,53,54,87,84,94,8,50,76,13,50,11,94,24,90,95,75,68,86,22,22,87,20,70,64,70,60,72,60,100,56,95,95,8,66,14,3,90,70,12,46,91,43,42,22,78,52,24,35,99,39,82,72,21,91,54,71
61,88,20,47,24,86,53,28,45,10,57,75,97,65,82,41,13,3,74,51,83,3,28,0,27,38,91,97,91,18,80,30,58,39,84,15,59,20,20,62,90,54,69,19,4,27,77,30,43,49,24,23,70,3,38,25,33,7,26,56,68,40,2,20,49,53,2,42,83,18,25,76,58,35,90,95,51,30,83,60,92,5,37,35,63,83,20,71,41,47,74,18,56,5,53,44,69,93,19,31,34,99,75,70,71,35,15,85,61,3,41,80,37,65,11,30,27,9,68,88,25,6,91,86,93,57,14,14,77,30,61,48,89,30,55,32,8,52,6,4,44,89,27,10,96,16,68,56,14,19,30,45,29,99,44,11,50,69,35,21,46,62,98,98,24,80,25,42,96,91,59,92,69,93,92,12,9,55,63,11,95,25,75,77,49,99,92,35,77,75,67,6,54,69,33,58,72,1,20,58
6,69,64,5,20,82,44,8,22,70,87,31,8,94,99,54,85,27,67,35,1,88,74,72,0,53,40,81,60,13,61,81,19,53,5,48,82,80,12,36,29,7,58,87,52,99,10,38,95,76,32,5,60,60,85,60,81,32,42,64,21,61,49,59,45,49,76,53,52,23,95,19,2,36,22,12,90,2,73,16,46,53,40,17,1,14,78,86,74,27,22,51,3,33,51,24,93,67,57,3,17,62,67,51,30,2,81,93,43,88,50,56,78,63,94,59,92,48,3,4,80,29,96,92,46,34,11,15,92,27,33,29,10,57,100,52,74,8,79,38,71,97,6,62,34,57,15,16,92,71,10,22,81,8,20,92,70,62,44,60,29,26,33,8,51,99,27,25,86,58,56,41,8,79,61,51,88,58,35,78,5,39,78,71,72,56,86,54,94,9,64,17,98,62,55,86,62,98,82,13
41,89,39,85,68,9,33,47,39,65,86,67,90,73,2,59,16,93,4,52,79,43,10,26,36,0,97,81,24,24,7,47,8,42,50,85,31,67,85,46,15,68,39,47,71,85,85,40,94,7,19,30,38,68,21,37,43,37,84,30,64,38,27,59,4,22,74,82,98,17,97,57,55,34,37,31,46,77,45,54,4,89,12,69,27,44,92,30,81,39,33,90,15,4,80,91,30,33,43,52,61,1,60,90,4,75,40,95,35,83,2,77,73,78,73,43,25,52,86,83,74,79,22,18,73,22,99,71,42,51,42,39,32,16,25,5,23,25,66,43,64,11,6,99,6,29,77,18,48,17,74,42,98,27,7,47,44,42,46,37,19,71,90,53,85,60,42,96,90,96,82,62,2,75,73,56,65,54,70,52,86,84,97,94,39,68,30,18,68,87,89,97,47,65,97,60,86,15,77,30
85,63,42,94,58,8,26,35,38,34,94,11,25,77,99,12,6,33,89,37,94,97,76,35,32,41,0,68,92,87,38,69,1,35,44,52,45,97,82,82,53,11,59,83,14,93,75,77,82,54,53,49,99,69,56,31,69,79,9,44,17,55,63,75,53,43,20,56,29,1,47,56,88,69,20,31,5,38,94,57,80,33,33,12,66,17,21,95,50,69,69,17,52,61,57,13,37,25,48,63,94,3,70,88,29,24,100,21,32,64,88,2,20,56,95,82,54,75,72,67,72,24,54,91,37,76,70,70,9,53,24,56,58,18,4,46,76,73,34,90,3,87,45,90,83,6,84,89,84,76,60,66,29,24,69,71,2,99,53,76,37,36,77,82,78,62,58,35,74,35,73,32,34,97,71,16,23,65,93,28,62,60,94,81,16,36,21,54,6,24,5,28,31,74,14,81,50,84,27,17
41,98,19,80,17,16,35,78,50,31,46,27,34,40,63,72,48,66,60,90,92,43,47,87,94,34,78,0,20,63,15,80,64,52,15,67,15,21,73,35,18,34,68,37,53,78,28,2,29,79,77,92,35,92,22,4,65,52,90,79,92,77,8,58,28,48,35,78,18,100,52,91,77,16,96,89,70,28,18,85,11,17,16,39,31,80,64,16,97,66,26,90,91,53,17,60,54,14,74,21,22,69,16,60,41,24,27,97,76,90,36,78,39,19,53,24,6,24,42,20,92,74,83,58,60,10,44,72,24,75,84,15,30,41,56,89,29,56,20,2,58,59,67,84,66,43,89,62,81,62,26,44,46,100,8,73,31,82,18,90,9,31,79,10,37,48,98,73,12,45,25,81,24,4,28,9,40,63,74,65,46,62,74,68,82,17,96,100,91,81,12,39,11,30,84,62,60,89,42,22
